Key,Law,Domain,Law_Summary,,,,,,,,,,,,,,,,,,,,,,
232,"The members of the Commission, shall be paid such remuneration as shall be determined by the Minister in charge of the subject of Finance.",Civil Law,The remuneration for the members of the Commission will be determined by the Minister responsible for the subject of Finance.,,,,,,,,,,,,,,,,,,,,,,
233,"(a) The Commission shall meet at least once in every month or as often as may be necessary.
(b) The quorum for any meeting of the Commission shall be three members.
(c) The Chairperson of the Commission shall preside at all meetings of the Commission, and in the absence of the Chairperson at any such meeting, the members present shall elect from amongst them, a member to preside at such meeting.
(d) The Chairperson or the person presiding at any meeting of the Commission, shall in addition to his vote, have a casting vote.
(e) The Commission shall regulate the procedure in regard to its meetings and the transaction of business at such meetings",Civil Law,"The Commission is required to convene at least once a month, or more frequently if necessary. A quorum, consisting of three members, is needed for a valid meeting. The Chairperson leads the meetings, and in their absence, members can elect a presiding member. The Chairperson or the presiding member holds a casting vote in addition to their regular vote. The Commission has the authority to establish and manage the procedural aspects of its meetings and the conduct of business during such meetings.",,,,,,,,,,,,,,,,,,,,,,
234,"The seal of the Commission:
(a) shall be as determined from time to time by the Commission
(b) shall be in the custody of such person as the Commission shall determine
(c) may be altered in such manner as may be determined by the Commission and
(d) shall not be affixed to any document or instrument, except with the sanction of the Commission, and in the presence of the Chairperson and one other member of such Commission both of whom shall sign such document or the instrument in token of their presence.",Civil Law,"The Commission's seal is subject to its periodic determination and may be altered as decided by the Commission. It is under the custody of an individual appointed by the Commission. The seal cannot be affixed to any document or instrument without the Commission's approval. When sanctioned, the affixing of the seal must occur in the presence of both the Chairperson and another Commission member, who are required to sign the document or instrument to confirm their presence.",,,,,,,,,,,,,,,,,,,,,,
235,"Sri Lanka (Ceylon) is a Free, Sovereign, Independent and Democratic Socialist Republic and shall be known as the Democratic Socialist Republic of Sri Lanka.",Civil Law,"Sri Lanka is a  Free, Sovereign, Independent and Democratic and officially called as the Democratic Socialist Republic of Sri Lanka.",,,,,,,,,,,,,,,,,,,,,,
236,"In the Republic of Sri Lanka, sovereignty is in the People and is inalienable. Sovereignty includes the powers of government, fundamental rights, and the franchise.",Civil Law,"In Sri Lanka, the power belongs to the people, and it includes the authority to govern, basic rights, and the right to vote.",,,,,,,,,,,,,,,,,,,,,,
237,"The Sovereignty of the People shall be exercised and enjoyed in the following manner:
(a) the legislative power of the People shall be exercised by Parliament, consisting of elected representatives of the People and by the People at a Referendum
(b) the executive power of the People, including the defense of Sri Lanka, shall be exercised by the President of the Republic elected by the People
(c) the judicial power of the People shall be exercised by Parliament through courts, tribunals, and institutions created and established, or recognized, by the Constitution, or created and established by law, except in regard to matters relating to the privileges, immunities, and powers of Parliament and of its Members, wherein the judicial power of the People may be exercised directly by Parliament according to law
(d) the fundamental rights which are by the Constitution declared and recognized shall be respected, secured and advanced by all the organs of government and shall not be abridged, restricted or denied, save in the manner and to the extent hereinafter provided and
(e) the franchise shall be exercisable at the election of the President of the Republic and of the Members of Parliament and at every Referendum by every citizen who has attained the age of eighteen years and who, being qualified to be an elector as hereinafter provided, has his name entered in the register of electors.",Civil Law,"In Sri Lanka, the people's sovereignty is exercised through Parliament for legislation, the President for executive power, and the judiciary established by Parliament. Fundamental rights are protected by all government organs, with certain limitations defined by law. Citizens aged 18 and qualified as electors have the franchise to vote in presidential and parliamentary elections and referendums, ensuring their active participation in the democratic process.",,,,,,,,,,,,,,,,,,,,,,
238,"The territory of the Republic of Sri Lanka shall consist of the [twenty-five] administrative districts, the names of which are set out in the First Schedule and its territorial waters: Provided that such administrative districts may be subdivided or amalgamated so as to constitute different administrative districts, as Parliament may by resolution determine.",Civil Law,"The territory of Sri Lanka comprises the specified administrative districts as listed in the First Schedule, along with its territorial waters. Parliament holds the authority to subdivide, amalgamate, or modify these administrative districts as deemed necessary through a resolution.",,,,,,,,,,,,,,,,,,,,,,
239,The National Flag of the Republic of Sri Lanka shall be the Lion Flag depicted in the Second Schedule.,Civil Law,The official National Flag of Sri Lanka is the Lion Flag.,,,,,,,,,,,,,,,,,,,,,,
240,"The National Anthem of the Republic of Sri Lanka shall be “Sri Lanka Matha”, the words and music of which are set out in the Third Schedule.",Civil Law,"The designated National Anthem of Sri Lanka is ""Sri Lanka Matha,"" and its lyrics and music are specified in the Third Schedule.",,,,,,,,,,,,,,,,,,,,,,
241,The National Day of the Republic of Sri Lanka shall be the fourth day of February.,Civil Law,The National Day or the independance day of Sri Lanka is the fourth of February.,,,,,,,,,,,,,,,,,,,,,,
242,"The Republic of Sri Lanka shall give to Buddhism the foremost place and accordingly it shall be the duty of the State to protect and foster the Buddha Sasana, while assuring to all religions the rights granted by Articles 10 and 14(1)(e).",Civil Law,"Buddhism shall hold the primary position, and the State is obligated to safeguard and nurture the Buddha Sasana. At the same time, it ensures that all religions enjoy the rights specified in Articles 10 and 14(1)(e).",,,,,,,,,,,,,,,,,,,,,,
243,"Every person is entitled to freedom of thought, conscience and religion, including the freedom to have or to adopt a religion or belief of his choice.",Civil Law,"Every individual has the right to freedom of thought, conscience, and religion, including the freedom to follow or adopt a religion or belief of their choosing.",,,,,,,,,,,,,,,,,,,,,,
244,"No person shall be subjected to torture or to cruel, inhuman or degrading treatment or punishment. (Constitution)",Civil Law,"No individual shall be subjected to torture or cruel, inhuman, or degrading treatment or punishment.",,,,,,,,,,,,,,,,,,,,,,
245,"(1) All persons are equal before the law and are entitled to the equal protection of the law.
(2) No citizen shall be discriminated against on the grounds of race, religion, language, caste, sex, political opinion, place of birth, or any one of such grounds:
Provided that it shall be lawful to require a person to acquire within a reasonable time sufficient knowledge of any language as a qualification for any employment or office in the Public, Judicial, or Local Government Service or in the service of any Public Corporation, where such knowledge is reasonably necessary for the discharge of the duties of such employment or office:
Provided further that it shall be lawful to require a person to have sufficient knowledge of any language as a qualification for any such employment or office where no function of that employment or office can be discharged otherwise than with knowledge of that language.
(3) No person shall, on the grounds of race, religion, language, caste, sex, or any one of such grounds, be subject to any disability, liability, restriction, or condition with regard to access to shops, public restaurants, hotels, places of public entertainment, and places of public worship of his own religion.
(4) Nothing in this Article shall prevent special provision being made, by law, subordinate legislation, or executive action, for the advancement of women, children, or disabled persons.",Civil Law,"The equality before the law and the equal protection of all individuals. It prohibits discrimination based on various grounds such as race, religion, language, caste, sex, and political opinion. Exceptions are allowed for language requirements in certain employment or office roles where such knowledge is necessary for effective performance. The law also prohibits discrimination in access to public places based on specified grounds. Additionally, it permits special provisions to be made for the advancement of women, children, or disabled persons.",,,,,,,,,,,,,,,,,,,,,,
246,"(1) No person shall be arrested except according to the procedure established by law. Any person arrested shall be informed of the reason for his arrest.
(2) Every person held in custody, detained, or otherwise deprived of personal liberty shall be brought before the judge of the nearest competent court according to the procedure established by law and shall not be further held in custody, detained, or deprived of personal liberty except upon and in terms of the order of such judge made in accordance with the procedure established by law.
(3) Any person charged with an offense shall be entitled to be heard, in person or by an Attorney-at-Law, at a fair trial by a competent court.
(4) No person shall be punished with death or imprisonment except by order of a competent court, made in accordance with the procedure established by law. The arrest, holding in custody, detention, or other deprivation of personal liberty of a person, pending investigation or trial, shall not constitute punishment.
(5) Every person shall be presumed innocent until he is proved guilty: Provided that the burden of proving particular facts may, by law, be placed on an accused person.
(6) No person shall be held guilty of an offense on account of any act or omission which did not, at the time of such act or omission, constitute such an offense, and no penalty shall be imposed for any offense more severe than the penalty in force at the time such offense was committed. Nothing in this Article shall prejudice the trial and punishment of any person for any act or omission which, at the time when it was committed, was criminal according to the general principles of law recognized by the community of nations.
It shall not be a contravention of this Article to require the imposition of a minimum penalty for an offense, provided that such penalty does not exceed the maximum penalty prescribed for such an offense at the time such offense was committed.
(7) The arrest, holding in custody, detention, or other deprivation of personal liberty of a person, by reason of a removal order or a deportation order made under the provisions of the Immigrants and Emigrants Act or the Indo-Ceylon Agreement (Implementation) Act, No. 14 of 1967, or such other law as may be enacted in substitution therefor, shall not be a contravention of this Article.",Civil Law,"The rights of individuals regarding arrest, detention, and personal liberty. It specifies that no person shall be arrested except according to established legal procedures and must be informed of the reasons for the arrest. Anyone in custody must be brought before the nearest competent court and can only be further detained based on the court's order. Those charged with an offense are entitled to a fair trial, and punishment, including death or imprisonment, can only be imposed by a competent court following established legal procedures. The presumption of innocence until proven guilty is affirmed, and retroactive penalties are prohibited. Certain provisions related to arrest and detention orders under specific acts are exempted from contravening this article.",,,,,,,,,,,,,,,,,,,,,,
247,"(1) Every citizen is entitled to:
(a) the freedom of speech and expression, including publication
(b) the freedom of peaceful assembly
(c) the freedom of association
(d) the freedom to form and join a trade union
(e) the freedom, either by himself or in association with others, and either in public or in private, to manifest his religion or belief in worship, observance, practice, and teaching
(f) the freedom by himself or in association with others to enjoy and promote his own culture and to use his own language
(g) the freedom to engage by himself or in association with others in any lawful occupation, profession, trade, business, or enterprise
(h) the freedom of movement and of choosing his residence within Sri Lanka and
(i) the freedom to return to Sri Lanka
(2) A person who, not being a citizen of any other country, has been permanently and legally resident in Sri Lanka immediately prior to the commencement of the Constitution and continues to be so resident shall be entitled, for a period of ten years from the commencement of the Constitution, to the rights declared and recognized by paragraph (1)",Civil Law,"The law guarantees various fundamental freedoms to citizens, including freedom of speech, peaceful assembly, association, forming trade unions, manifesting religion, enjoying and promoting culture, engaging in lawful occupations, and freedom of movement. Additionally, it provides certain rights to long-term residents who were legally residing in Sri Lanka before the commencement of the Constitution, granting them specific rights for ten years.",,,,,,,,,,,,,,,,,,,,,,
248,"(1) Every citizen shall have the right of access to any information as provided for by law, being information that is required for the exercise or protection of a citizen’s right held by:
(a) the State, a Ministry or any Government Department or any statutory body established or created by or under any law
(b) any Ministry of a Minister of the Board of Ministers of a Province or any Department or any statutory body established or created by a statute of a Provincial Council
(c) any local authority and
(d) any other person, who is in possession of such information relating to any institution referred to in sub-paragraphs (a), (b), or (c) of this paragraph.
(2) No restrictions shall be placed on the right declared and recognized by this Article, other than such restrictions prescribed by law as are necessary in a democratic society, in the interests of national security, territorial integrity or public safety, for the prevention of disorder or crime, for the protection of health or morals and of the reputation or the rights of others, privacy, prevention of contempt of court, protection of parliamentary privilege, for preventing the disclosure of information communicated in confidence, or for maintaining the authority and impartiality of the judiciary.
(3) In this Article, “citizen” includes a body whether incorporated or unincorporated, if not less than three-fourths of the members of such a body are citizens.",Civil Law,"This law grants citizens the right of access to information held by various entities, including the State, government bodies, provincial councils, local authorities, and other individuals or entities possessing relevant information. It emphasizes minimal restrictions on this right, specifying that any limitations must be prescribed by law and necessary in a democratic society for reasons such as national security, public safety, prevention of disorder or crime, protection of health or morals, and safeguarding the rights of others or privacy. The definition of ""citizen"" includes bodies, whether incorporated or unincorporated, with at least three-fourths of their members being citizens.",,,,,,,,,,,,,,,,,,,,,,
249,"(1) The exercise and operation of the fundamental rights declared and recognized by Articles 13(5) and 13(6) shall be subject only to such restrictions as may be prescribed by law in the interests of national security. For the purposes of this paragraph “law” includes regulations made under the law for the time being relating to public security.
(2) The exercise and operation of the fundamental right declared and recognized by Article 14(1)(a) shall be subject to such restrictions as may be prescribed by law in the interests of racial and religious harmony or in relation to parliamentary privilege, contempt of court, defamation or incitement to an offense.
(3) The exercise and operation of the fundamental right declared and recognized by Article 14(1)(b) shall be subject to such restrictions as may be prescribed by law in the interests of racial and religious harmony.
(4) The exercise and operation of the fundamental right declared and recognized by Article 14(1)(c) shall be subject to such restrictions as may be prescribed by law in the interests of racial and religious harmony or national economy.
(5) The exercise and operation of the fundamental right declared and recognized by Article 14(1)(g) shall be subject to such restrictions as may be prescribed by law in the interests of national economy or in relation to:
(a) the professional, technical, academic, financial and other qualifications necessary for practicing any profession or carrying on any occupation, trade, business or enterprise and the licensing and disciplinary control of the person entitled to such fundamental right and
(b) the carrying on by the State, a State agency or a public corporation of any trade, business, industry, service or enterprise whether to the exclusion, complete or partial, of citizens or otherwise.
(6) The exercise and operation of the fundamental right declared and recognized by Article 14(1)(h) shall be subject to such restrictions as may be prescribed by law in the interests of the national economy.
(7) The exercise and operation of all the fundamental rights declared and recognized by Articles 12, 13(1), 13(2) and 14 shall be subject to such restrictions as may be prescribed by law in the interests of national security, public order and the protection of public health or morality, or for the purpose of securing due recognition and respect for the rights and freedoms of others, or of meeting the just requirements of the general welfare of a democratic society. For the purposes of this paragraph “law” includes regulations made under the law for the time being relating to public security.
(8) The exercise and operation of the fundamental rights declared and recognized by Articles 12(1), 13 and 14 shall, in their application to the members of the Armed Forces, Police Force and other Forces charged with the maintenance of public order, be subject to such restrictions as may be prescribed by law in the interests of the proper discharge of their duties and the maintenance of discipline among them.",Civil Law,"The restrictions on fundamental rights in the interest of national security, racial and religious harmony, parliamentary privilege, public health, morality, and more. Restrictions also cover professional qualifications, state involvement in trade, and discipline among security forces.",,,,,,,,,,,,,,,,,,,,,,
250,"(1) All existing written law and unwritten law shall be valid and operative notwithstanding any inconsistency with the preceding provisions.
(2) The subjection of any person on the order of a competent court to any form of punishment recognized by any existing written law shall not be a contravention of the provisions of this Chapter. (Constitution)",Civil Law,"All existing written and unwritten laws remain valid and effective, even if inconsistent with the preceding provisions. The imposition of recognized forms of punishment by a competent court, as per existing written law, does not violate the provisions of this Chapter in the Constitution.",,,,,,,,,,,,,,,,,,,,,,
251,"Every person shall be entitled to apply to the Supreme Court, as provided by Article 126, in respect of the infringement or imminent infringement, by executive or administrative action, of a fundamental right to which such person is entitled under the provisions of this Chapter. ((Constitution))",Civil Law,"Every individual has the right to petition the Supreme Court under Article 126 if their fundamental rights, as outlined in this Chapter of the Constitution, are violated or under imminent threat of violation due to executive or administrative actions.",,,,,,,,,,,,,,,,,,,,,,
252,"(1) The Official Language of Sri Lanka shall be Sinhala.
(2) Tamil shall also be an official language.
(3) English shall be the link language.
(4) Parliament shall by law provide for the implementation of the provisions of this Chapter. (Constitution)",Civil Law,"The Constitution designates Sinhala as the official language of Sri Lanka, while also recognizing Tamil as another official language. English is specified as the link language. Additionally, Parliament is tasked with enacting laws to implement the provisions outlined in this Chapter of the Constitution.",,,,,,,,,,,,,,,,,,,,,,
253,The National Languages of Sri Lanka shall be Sinhala and Tamil. (Constitution),Civil Law,The main languages in Sri Lanka is Sinhala and Tamil. (Constitution),,,,,,,,,,,,,,,,,,,,,,
254,A Member of Parliament or a member of a Provincial Council or a Local Authority shall be entitled to perform his duties and discharge his functions in Parliament or in such Provincial Council or Local Authority in either of the National Languages.,Civil Law,"Members of Parliament, Provincial Council, or Local Authority can perform their duties and functions in either of the national languages.",,,,,,,,,,,,,,,,,,,,,,
255,"(1) A person shall be entitled to be educated through the medium of either of the National Languages.
Provided that the provisions of this paragraph shall not apply to an institution of higher education where the medium of instruction is a language other than a National Language.
(2) Where one National Language is a medium of instruction for or in any course, department or faculty of any University directly or indirectly financed by the State, the other National Language shall also be made a medium of instruction for or in such course, department or faculty for students who prior to their admission to such University, were educated through the medium of such other National Language.
Provided that compliance with the preceding provisions of this paragraph shall not be obligatory if such other National Language is the medium of instruction for or in any course, department or faculty either at any other campus or branch of such University or of any other like University.
(3) In this Article “University” includes any institution of higher education.",Civil Law,"Every person has the right to be educated in either of the national languages. In institutions of higher education financed by the State, if one national language is a medium of instruction, the other national language must also be made a medium of instruction for students who were educated in that language prior to admission. This applies unless the other language is already the medium of instruction at another campus or branch of the university.",,,,,,,,,,,,,,,,,,,,,,
256,"(1) Sinhala and Tamil shall be the languages of administration throughout Sri Lanka and Sinhala shall be the language of administration and be used for the maintenance of public records and the transaction of all business by public institutions of all the Provinces of Sri Lanka other than the Northern and Eastern Provinces where Tamil shall be so used.
Provided that the President may, having regard to the proportion which the Sinhala or Tamil linguistic minority population in any unit comprising a division of an Assistant Government Agent, bears to the total population of that area, direct that both Sinhala and Tamil or a language other than the language used as the language of administration in the province in which such area may be situated, be used as the language of administration for such area.
(2) In any area where Sinhala is used as the language of administration a person other than an official acting in his official capacity, shall be entitled:
(a) to receive communications from and to communicate and transact business with, any official in his official capacity, in either Tamil or English
(b) If the law recognizes his right to inspect or to obtain copies of or extracts from any official register, record, publication or other document, to obtain a copy of, or an extract from such register, record, publication or other document, or a translation thereof, as the case may be, in either Tamil or English
(c) where a document is executed by any official for the purpose of being issued to him, to obtain such document or a translation thereof, in either Tamil orEnglish
(3) In any area where Tamil is used as the language of administration, a person other than an official acting in his official capacity, shall be entitled to exercise the rights and to obtain the services, referred to in sub-paragraphs (a), (b) and (c) of paragraph (2) of this Article, in Sinhala or English.
(4) A Provincial Council or a Local Authority which conducts its business in Sinhala shall be entitled to receive communications from and to communicate and transact business with, any official in his official capacity, in Sinhala and a Provincial Council or a Local Authority which conducts its business in Tamil shall be entitled to receive communications from and to communicate and transact business with, any official in his official capacity, in Tamil.
Provided however that a Provincial Council, Local Authority, Public Institution or any official receiving communications from transacting business with any other or Provincial Council, Local Authority, Public Institution or an official functioning in an area in which a different language is used as the Language of administration shall be entitled to receive communications from and to communicate and transact business in English.
(5) A person shall be entitled to be examined through the medium of either Sinhala or Tamil or a language of his choice at any examination for the admission of persons to the Public Service, Judicial Service, Provincial Public Service, Local Government Service or any public institution, subject to the condition that he may be required to acquire a sufficient knowledge of Tamil or Sinhala, as the case may be, within a reasonable time after admission to such service or public institution where such knowledge is reasonably necessary for the discharge of his duties.
Provided that a person may be required to have a sufficient knowledge of Sinhala or Tamil, as a condition for admission to any such service or public institution where no function of the office or employment for which he is recruited can be discharged otherwise than with a sufficient knowledge of such language.
(6) In this Article:
“official” means the President, any Minister, Deputy Minister, Governor, Chief Minister or Minister of the Board of Ministers of a Province, or any officer of a public institution local authority or Provincial Council and
“Public Institution” means a department or institution of the Government, a public corporation or statutory institution.",Civil Law,"Sinhala and Tamil are the languages of administration in Sri Lanka. Sinhala is used for public records and business in most provinces, except the Northern and Eastern Provinces, where Tamil is used. The President may, based on population proportions, designate both Sinhala and Tamil or another language for administration in specific areas. People have the right to communicate with officials, access records, and receive services in either Sinhala or Tamil, depending on the language of administration in their area. Provincial Councils, Local Authorities, and officials may use English in communications with entities using a different language for administration. Examinations for public services may be taken in Sinhala, Tamil, or a chosen language, with language proficiency requirements when necessary for the job.
",,,,,,,,,,,,,,,,,,,,,,
257,"(1) All laws and subordinate legislation shall be enacted or made and published in Sinhala and Tamil, together with a translation thereof in English:
Provided that Parliament shall, at the stage of enactment of any law determine which text shall prevail in the event of any inconsistency between texts
Provided further that in respect of all other written laws and the text in which such written laws was enacted or adopted or made, shall prevail in the event of any inconsistency between such texts.
(2) All Orders, Proclamations, Rules, By-laws, Regulations and Notifications made or issued under any written law other than those made or issued by a Provincial Council or a Local Authority and the Gazette shall be published in Sinhala and Tamil together with a translation thereof in English.
(3) All Orders, Proclamations, Rules, By-laws, Regulations and Notifications made or issued under any written law by any Provincial Council or Local Authority and all documents, including circulars and forms issued by such body or any public institution shall be published in the language used in the administration in the respective areas in which they function, together with a translation thereof in English.
(4) All laws and subordinate legislation in force immediately prior to the commencement of the Constitution, shall be published in the Gazette in the Sinhala and Tamil Language as expeditiously as possible.",Civil Law,"All laws and subordinate legislation in Sri Lanka must be enacted, made, and published in Sinhala and Tamil, with an English translation. Parliament determines the prevailing text in case of inconsistency during enactment, and for existing laws, the text in which they were enacted prevails. Orders, Proclamations, Rules, By-laws, Regulations, and Notifications under national laws must be published in Sinhala, Tamil, and English. For those under Provincial Councils or Local Authorities, they are published in the local administrative language and English. Existing laws and subordinate legislation must be promptly published in the Gazette in Sinhala and Tamil after the Constitution's commencement.",,,,,,,,,,,,,,,,,,,,,,
258,"(1) Sinhala and Tamil shall be the languages of the Courts throughout Sri Lanka and Sinhala shall be used as the language of the courts situated in all the areas of Sri Lanka except those in any area where Tamil is the language of administration. The record and proceedings shall be in the language of the Court. In the event of an appeal from any court records shall also be prepared in the language of the court hearing the appeal, if the language of such court is other than the language used by the court from which the appeal is preferred:
Provided that the Minister in charge of the subject of Justice may, with the concurrence of the Cabinet of Ministers direct that the record of any court shall also be maintained and the proceedings conducted in a language other than the language of the court.
(2) Any party or applicant or any person legally entitled to represent such party or applicant may initiate proceedings and submit to court pleadings and other documents and participate in the proceedings in courts, in either Sinhala or Tamil.
(3) Any judge, juror, party or applicant or any person legally entitled to represent such party or applicant, who is not conversant with the language used in a court, shall be entitled to interpretation and to translation into Sinhala or Tamil provided by the State, to enable him to understand and participate in the proceedings before such court and shall also be entitled to obtain in such language any such part of the record or a translation thereof, as the case may be, as he may be entitled to obtain according to law.
(4) The Minister in charge of the subject of Justice may, with the concurrence of the Cabinet of Ministers, issue directions permitting 14[the use of English] in or in relation to the records and proceedings in any court for all purposes or for such purposes as may be specified therein. Every judge shall be bound to implement such directions.
(5) In this Article:
“Court” means any court or tribunal created and established for the administration of justice including the adjudication and settlement of industrial and other disputes, or any other tribunal or institution exercising judicial or quasi-judicial functions or any tribunal or institution created and established for the conciliation and settlement of disputes
“judge” includes the President, Chairman, Presiding Officer and member of any court and
“record” includes Pleadings, Judgments, Orders and Other judicial and Ministerial acts.",Civil Law,"In Sri Lanka, Sinhala and Tamil are designated as the languages of the courts, with Sinhala used unless Tamil is the local administrative language. The record and proceedings in a court are conducted in its language. However, parties, applicants, or their representatives have the option to initiate proceedings, submit documents, and participate in court in either Sinhala or Tamil. Individuals not proficient in the court's language are entitled to interpretation and translation provided by the State. The Minister of Justice, with Cabinet concurrence, may permit the use of English in court records and proceedings, and judges must implement such directions. The term ""court"" encompasses various judicial and quasi-judicial bodies, and ""record"" includes pleadings, judgments, orders, and other judicial and ministerial acts.",,,,,,,,,,,,,,,,,,,,,,
259,"The State shall provide adequate facilities for the use of the languages provided for in this Chapter. In the event of any inconsistency between the provisions of any law and the provisions of this Chapter, the provisions of this Chapter shall prevail.",Civil Law,"The State in Sri Lanka is obligated to ensure sufficient resources for the use of languages outlined in this constitutional chapter. If any conflict arises between the laws and the provisions of this chapter regarding language use, the provisions of this chapter take precedence.",,,,,,,,,,,,,,,,,,,,,,
260,"(1) There shall be one status of citizenship known as “the status of a citizen of Sri Lanka”.
(2) A citizen of Sri Lanka shall for all purposes be described only as a “citizen of Sri Lanka”, whether such person became entitled to citizenship by descent or by virtue of registration in accordance with the law relating to citizenship.
(3) No distinction shall be drawn between citizens of Sri Lanka for any purpose by reference to the mode of acquisition of such status, as to whether acquired by descent or by virtue of registration.
(4) No citizen of Sri Lanka shall be deprived of his status as a citizen of Sri Lanka, except under and by virtue of the provisions of sections 19, 20, 21 and 22 of the Citizenship Act.
Provided that the provisions of sections 23 and 24 of that Act shall also be applicable to a person who became entitled to the status of a citizen of Sri Lanka by virtue of registration under the provisions of section 11, 12 or 13 of that Act.
(5) Every person who immediately prior to the commencement of the Constitution was a citizen of Sri Lanka, whether by descent or by virtue of registration in accordance with any law relating to citizenship, shall be entitled to the status and to the rights of a citizen of Sri Lanka as provided in the preceding provisions of this Article.
(6) The provisions of all existing written laws relating to citizenship and all other existing written laws wherein reference is made to citizenship shall be read subject to the preceding provisions of this Article.",Civil Law,"The law establishes a single status of citizenship in Sri Lanka, referred to as ""the status of a citizen of Sri Lanka."" All citizens, regardless of the mode of acquiring citizenship, are uniformly recognized as citizens of Sri Lanka. The status of a citizen of Sri Lanka can only be revoked under specific provisions outlined in the Citizenship Act. The rights and entitlements of a person who was a citizen before the Constitution's commencement are preserved, and existing laws related to citizenship should be interpreted in accordance with this legal framework.",,,,,,,,,,,,,,,,,,,,,,
261,"(1) The Directive Principles of State Policy herein contained shall guide Parliament, the President and the Cabinet of Ministers in the enactment of laws and the governance of Sri Lanka for the establishment of a just and free society.
(2) The State is pledged to establish in Sri Lanka a Democratic Socialist Society, the objectives of which include:
(a) the full realization of the fundamental rights and freedoms of all persons
(b) the promotion of the welfare of the People by securing and protecting as effectively as it may, a social order in which justice (social, economic and political) shall guide all the institutions of the national life
(c) the realization by all citizens of an adequate standard of living for themselves and their families, including adequate food, clothing and housing, the continuous improvement of living conditions and the full enjoyment of leisure and social and cultural opportunities
(d) the rapid development of the whole country by means of public and private economic activity and by laws prescribing such planning and controls as may be expedient for directing and Coordinating such public and private economic activity towards social objectives and the public weal
(e) the equitable distribution among all citizens of the material resources of the community and the social product, so as best to subserve the common good
(f) the establishment of a just social order in which the means of production, distribution and exchange are not concentrated and centralized in the State, State agencies or in the hands of a privileged few, but are dispersed among and owned by, all the People of Sri Lanka
(g) raising the moral and cultural standards of the People and ensuring the full development of human personality and
(h) the complete eradication of illiteracy and the assurance to all persons of the right to universal and equal access to education at all levels.
(3) The State shall safeguard the independence, sovereignty, unity and the territorial integrity of Sri Lanka.
(4) The State shall strengthen and broaden the democratic structure of government and the democratic rights of the People by decentralizing the administration and by affording all possible opportunities to the People to participate at every level in national life and in government.
(5) The State shall strengthen national unity by promoting cooperation and mutual confidence among all sections of the People of Sri Lanka, including the racial, religious, linguistic and other groups and shall take effective steps in the fields of teaching, education and information in order to eliminate discrimination and prejudice.
(6) The State shall ensure equality of opportunity to citizens, so that no citizen shall suffer any disability on the ground of race, religion, language, caste, sex, political opinion or occupation.
(7) The State shall eliminate economic and social privilege and disparity and the exploitation of man by man or by the State.
(8) The State shall ensure that the operation of the economic system does not result in the concentration of wealth and the means of production to the common detriment.
(9) The State shall ensure social security and welfare.
(10) The State shall assist the development of the cultures and the languages of the People.
(11) The State shall create the necessary economic and social environment to enable people of all religious faiths to make a reality of their religious principles.
(12) The State shall recognize and protect the family as the basic unit of society.
(13) The State shall promote with special care the interests of children and youth, so as to ensure their full development, physical, mental, moral, religious and social, and to protect them from exploitation and discrimination.
(14) The State shall protect, preserve and improve the environment for the benefit of the community.
(15) The State shall promote international peace, security and co-operation, and the establishment of a just and equitable international economic and social order and shall endeavor to foster respect for international law and treaty obligations in dealings among nations.",Civil Law,"The Directive Principles of State Policy outlined in this law serve as guidelines for the governance of Sri Lanka, emphasizing the establishment of a just and free society. The objectives include realizing fundamental rights, promoting welfare, ensuring an adequate standard of living, fostering economic development, equitable resource distribution, establishing a just social order, raising moral and cultural standards, eradicating illiteracy, and providing universal access to education. The State is committed to safeguarding independence, unity, and territorial integrity, strengthening democracy, promoting national unity, ensuring equal opportunities, eliminating economic disparity, providing social security, preserving the environment, and fostering international peace and cooperation. These principles guide legislative and governance decisions to build a democratic socialist society in Sri Lanka.",,,,,,,,,,,,,,,,,,,,,,
262,"The exercise and enjoyment of rights and freedoms are inseparable from the performance of duties and obligations and accordingly it is the duty of every person in Sri Lanka:
(a) to uphold and defend the Constitution and the law
(b) to further the national interest and to foster national unity
(c) to work conscientiously in his chosen occupation
(d) to preserve and protect public property and to combat misuse and waste of public property
(e) to respect the rights and freedoms of others and
(f) to protect nature and conserve its riches.",Civil Law,"Individuals in Sri Lanka are obligated to fulfill certain duties in conjunction with exercising their rights and freedoms. These duties include upholding and defending the Constitution and the law, promoting the national interest and unity, conscientiously performing one's chosen occupation, preserving and protecting public property, combating misuse and waste of public property, respecting the rights and freedoms of others, and contributing to the protection and conservation of nature and its resources. This underscores the interconnectedness of rights, freedoms, and civic responsibilities for every person in the country.",,,,,,,,,,,,,,,,,,,,,,
263,The provisions of this Chapter do not confer or impose legal rights or obligations and are not enforceable in any court or tribunal. No question of inconsistency with such provisions shall be raised in any court or tribunal. (Constitution),Civil Law,The provisions in this Chapter of the Constitution do not establish legal rights or obligations and are not enforceable in any court or tribunal. Any question of inconsistency with these provisions cannot be raised in a court or tribunal.,,,,,,,,,,,,,,,,,,,,,,
264,"(1) There shall be a President of the Republic of Sri Lanka, who is the Head of the State, the Head of the Executive and of the Government, and the Commander-in-Chief of the Armed Forces.
(2) The President of the Republic shall be elected by the People, and shall hold office for a term of five years.",Civil Law,"The President of the Republic of Sri Lanka serves as the Head of State, Head of the Executive, and Commander-in-Chief of the Armed Forces. The President is elected by the People and holds office for a term of five years.",,,,,,,,,,,,,,,,,,,,,,
